text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
2.5L老武世家精酿山西陈醋,6,"[{""start"": 12, ""end"": 14, ""text"": ""陈醋"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 3, ""text"": ""2.5"", ""labels"": [""WGT""]}]",1,6,2022-02-02T11:29:00.126994Z,2022-02-04T03:46:00.813738Z,1396.487
【群内专享购秒杀】诺梵松露形巧克力4种口味黑巧克力礼盒装送女友双旦节新年年货礼物,77,"[{""start"": 14, ""end"": 17, ""text"": ""巧克力"", ""labels"": [""PRD""]}, {""start"": 9, ""end"": 11, ""text"": ""诺梵"", ""labels"": [""BAND""]}]",1,63,2022-02-04T03:33:44.213870Z,2022-02-04T03:33:45.572037Z,661.29
【人参果】清甜好吃，水分足,58,"[{""start"": 1, ""end"": 4, ""text"": ""人参果"", ""labels"": [""PRD""]}]",1,45,2022-02-04T03:25:18.756544Z,2022-02-04T03:25:23.583926Z,159.308
【1件8折，2件78折】加厚磨毛咖色格子衬衫女秋冬摩登时尚长袖衬衣设计感小众,53,"[{""start"": 31, ""end"": 33, ""text"": ""衬衣"", ""labels"": [""PRD""]}]",1,41,2022-02-04T03:23:56.236813Z,2022-02-04T03:24:05.698657Z,81.383
Diplomat 外交官 DB-782O-2 斜挎包,23,"[{""start"": 23, ""end"": 26, ""text"": ""斜挎包"", ""labels"": [""PRD""]}, {""start"": 0, ""end"": 12, ""text"": ""Diplomat 外交官"", ""labels"": [""BAND""]}]",1,18,2022-02-02T11:33:34.078194Z,2022-02-02T11:33:40.542060Z,1498.127
7201灰黑色系--奶油蛋糕,14,"[{""start"": 12, ""end"": 14, ""text"": ""蛋糕"", ""labels"": [""PRD""]}]",1,1,2022-02-02T11:27:35.798332Z,2022-02-02T11:30:19.105167Z,1296.654
50g猪肉丝,12,"[{""start"": 0, ""end"": 2, ""text"": ""50"", ""labels"": [""WGT""]}, {""start"": 3, ""end"": 6, ""text"": ""猪肉丝"", ""labels"": [""PRD""]}]",1,2,2022-02-02T11:28:44.663039Z,2022-02-02T11:30:01.818249Z,1279.401
五谷杂粮粥，一袋2000克。,93,"[{""start"": 4, ""end"": 5, ""text"": ""粥"", ""labels"": [""PRD""]}, {""start"": 8, ""end"": 12, ""text"": ""2000"", ""labels"": [""WGT""]}]",1,93,2022-02-04T03:44:44.385908Z,2022-02-04T03:44:44.385938Z,9.146
丹参原片（亳州直发）,92,"[{""start"": 0, ""end"": 2, ""text"": ""丹参"", ""labels"": [""PRD""]}]",1,92,2022-02-04T03:44:34.156937Z,2022-02-04T03:44:34.156967Z,30.561
三年二班直液式走珠笔签字笔中性笔水性直液流学生水笔针管型速干,91,"[{""start"": 10, ""end"": 13, ""text"": ""签字笔"", ""labels"": [""PRD""]}, {""start"": 13, ""end"": 16, ""text"": ""中性笔"", ""labels"": [""PRD""]}, {""start"": 7, ""end"": 10, ""text"": ""走珠笔"", ""labels"": [""PRD""]}]",1,91,2022-02-04T03:44:00.838310Z,2022-02-04T03:44:00.838343Z,23.731
